"공공체육시설별","자치구별","항목","단위","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년","2023 년","2024 년",
"합계","합계","개소","개소","2563","2757","2763","2776","2788","2849","2879","2962","3005","3013","3080","3083","3204","3247",
"합계","합계","면적","㎡","12581518","13065706","12458379","12645546","12903886","13124819","13465821","14562161","15238949","15380794","14834598.78","15282399","15428006","14878680",
"합계","종로구","개소","개소","40","37","38","38","38","38","38","38","38","38","40","40","41","41",
"합계","종로구","면적","㎡","610370","49951","69741","95505","95505","70325","76402","76402","76402","70325","100075.6","102750","104994","104994",
"합계","중구","개소","개소","40","40","40","39","40","39","39","33","33","32","32","32","32","37",
"합계","중구","면적","㎡","439360","439360","439360","436553","439360","433663","435084","442836","440504","440503","424991.1","424992","424992","79173",
"합계","용산구","개소","개소","31","31","31","31","31","36","36","37","40","40","40","38","39","41",
"합계","용산구","면적","㎡","101120","101120","101120","101120","101120","115804","115804","118182","122450","121926","77890.2","118052","118152","119617",
"합계","성동구","개소","개소","48","48","48","48","48","47","45","52","53","55","55","55","113","115",
"합계","성동구","면적","㎡","187083","193312","193312","203427","203427","184117","194079","201567","198508","194483","159683","184467","189550","211697",
"합계","광진구","개소","개소","28","235","235","235","95","97","99","102","104","104","107","110","115","115",
"합계","광진구","면적","㎡","180157","162412","162412","162412","238665","242451","243651","235400","255769","321146","295859.69","312800","359233","359233",
"합계","동대문구","개소","개소","69","52","52","52","52","52","52","52","52","52","62","62","62","62",
"합계","동대문구","면적","㎡","109119","671891","671891","675320","675320","671891","672868","672868","671891","671891","687409.8","694105","690005","688373",
"합계","중랑구","개소","개소","108","108","108","108","108","108","111","113","115","116","116","116","137","137",
"합계","중랑구","면적","㎡","226819","226818","226818","226819","226819","214348","241032","248062","399689","406239","384388.2","384388","425977","411240",
"합계","성북구","개소","개소","153","155","155","155","155","155","156","157","157","158","160","160","161","161",
"합계","성북구","면적","㎡","125512","192404","133380","135162","135162","135162","120782","123061","114875","115260","113411.5","115171","128369","126609",
"합계","강북구","개소","개소","66","66","66","67","129","129","129","129","130","130","130","122","148","148",
"합계","강북구","면적","㎡","235279","235279","235279","236699","236699","209023","209023","209023","211165","215909","183502.8","195718","197422","192399",
"합계","도봉구","개소","개소","77","77","77","77","77","98","99","100","100","100","102","101","101","103",
"합계","도봉구","면적","㎡","1414544","1414544","1414544","1415479","1402697","1415634","1416687","1442982","1528723","1528723","1494201","1489535","1489535","1408355",
"합계","노원구","개소","개소","229","229","229","230","229","230","231","230","233","232","230","232","232","234",
"합계","노원구","면적","㎡","880652","1183099","1087658","1099958","1294918","1248723","1511663","1502501","1601077","1598504","1399572","1424941","1411949","1414394",
"합계","은평구","개소","개소","42","42","43","44","44","45","45","45","49","48","48","48","58","58",
"합계","은평구","면적","㎡","53256","63244","69120","81800","81800","87028","89467","89505","202894","198232","109705","109705","120342","108198",
"합계","서대문구","개소","개소","135","135","135","137","137","137","137","137","137","140","140","141","142","142",
"합계","서대문구","면적","㎡","210189","211098","211098","198997","198997","198819","202508","202594","198905","199067","198033","201261","205426","196465",
"합계","마포구","개소","개소","89","90","90","91","90","119","119","122","125","127","127","128","130","135",
"합계","마포구","면적","㎡","905065","927065","927065","1039241","1017241","1166170","1157800","1159186","1164846","1164146","1002157.79","1096271","1100795","1137139",
"합계","양천구","개소","개소","151","151","151","151","151","151","152","152","158","158","159","159","162","162",
"합계","양천구","면적","㎡","1462451","1484018","1469542","1470006","1478675","1533371","1525495","1525495","1601083","1600021","1608070","1629393","1636293","1628821",
"합계","강서구","개소","개소","157","159","158","157","160","159","159","161","165","166","166","166","170","175",
"합계","강서구","면적","㎡","2276085","2288295","2288295","2286001","2294463","2302905","2302905","2295648","2304267","2304382","2332916","2335766","2329107","2462650",
"합계","구로구","개소","개소","89","89","90","93","95","96","110","156","156","156","156","158","166","167",
"합계","구로구","면적","㎡","247989","247989","250429","267929","327926","329926","355576","1304034","1304034","1313161","1284005","1284575","1320108","1320657",
"합계","금천구","개소","개소","79","79","80","82","82","82","82","83","87","88","92","110","83","87",
"합계","금천구","면적","㎡","133097","133097","134720","143323","143323","143323","143323","156353","174643","177270","182057","174431","180834","83843",
"합계","영등포구","개소","개소","74","75","75","77","76","76","81","82","86","87","126","113","115","115",
"합계","영등포구","면적","㎡","307500","315200","315200","318218","310518","304518","310619","314519","329373","340308","334787","492242","499842","496468",
"합계","동작구","개소","개소","33","33","33","33","120","120","121","121","122","122","125","125","127","128",
"합계","동작구","면적","㎡","254256","254256","254256","254256","254256","254256","269276","271052","272741","272741","293448","293658","294768","300919",
"합계","관악구","개소","개소","152","152","152","152","152","152","155","157","157","158","158","159","161","160",
"합계","관악구","면적","㎡","125152","125152","125152","125152","125152","125152","159897","170305","170305","245698","225084.3","227274","230473","230473",
