"체육시설별","자치구별","항목","단위","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년","2023 년","2024 년",
"체육시설","서울시","시설수","개소","11353","11774","11519","10701","10424","11423","11631","11544","11279","10491","10130","10537","10921","11801","12009",
"체육시설","서울시","면적","㎡","3106746","3173612","3047793","2743345","2778519","3123125","3148552","2452915","2907050","4073512","3910886.532","4240468.842","4321230","4520262.45","5359602.58",
"체육시설","종로구","시설수","개소","315","320","314","302","290","286","238","227","209","203","205","213","220","221","234",
"체육시설","종로구","면적","㎡","72082","74528","73523","65552","78214","83561","81313","77676","73748","72664","73591.67","80589.21","90138","88237","96851",
"체육시설","중구","시설수","개소","388","396","393","393","377","380","372","372","374","374","-","247","252","263","263",
"체육시설","중구","면적","㎡","124418","127870","114304","114850","110866","115558","115330","117367","118584","116711","-","104778.02","122360","121867","126489",
"체육시설","용산구","시설수","개소","221","221","220","202","206","227","224","167","181","168","168","186","182","213","202",
"체육시설","용산구","면적","㎡","69597","66926","67347","60251","60871","70279","150933","119624","121556","122422","122422.37","62365.29","59531","68754.03","83072",
"체육시설","성동구","시설수","개소","357","359","365","347","347","322","395","411","381","271","270","280","313","322","343",
"체육시설","성동구","면적","㎡","78648","80003","81994","78017","78526","78116","79090","24399","31460","64392","63380.32","60502","66891","71601","84368",
"체육시설","광진구","시설수","개소","567","592","570","525","518","561","564","569","351","359","362","341","357","552","343",
"체육시설","광진구","면적","㎡","196023","153964","155000","133791","133244","159096","142535","155036","135662","153562","152778.43","97162.16","76144","115262","230371",
"체육시설","동대문구","시설수","개소","469","473","469","231","244","515","526","451","361","286","287","343","347","370","369",
"체육시설","동대문구","면적","㎡","103031","100968","102729","46097","101483","100233","103879","17345","27926","85200","82655.25","96891.66","94018","103127","107924",
"체육시설","중랑구","시설수","개소","400","396","380","390","392","341","434","392","391","354","354","375","328","395","334",
"체육시설","중랑구","면적","㎡","103768","103610","91136","94697","94919","93111","87854","32701","36429","97519","97521.11","105031.32","88564","94472","114648",
"체육시설","성북구","시설수","개소","370","367","357","333","342","366","376","377","389","354","355","400","414","427","467",
"체육시설","성북구","면적","㎡","71143","69080","69345","63546","65624","75163","79194","79067","83780","78206","78703.332","91353.002","86222","80744.82","434280",
"체육시설","강북구","시설수","개소","297","294","299","277","293","289","327","294","249","225","223","223","250","258","263",
"체육시설","강북구","면적","㎡","57425","56624","57819","53434","54633","56898","82807","57886","54802","36317","36316.96","54272.4","59526","62761","65534",
"체육시설","도봉구","시설수","개소","290","294","273","244","249","263","268","278","279","272","272","280","302","347","342",
"체육시설","도봉구","면적","㎡","131000","68805","65877","61041","61498","66390","69483","69151","71256","61741","61740.71","61894.78","66581","70317.2","72234",
"체육시설","노원구","시설수","개소","424","423","438","415","415","455","451","464","468","382","383","439","478","467","510",
"체육시설","노원구","면적","㎡","129366","145119","122789","71048","85015","117659","109650","111791","111760","102570","103245.4","104920.25","121215","136217","142732",
"체육시설","은평구","시설수","개소","423","428","425","433","436","430","450","458","459","466","467","409","435","397","394",
